num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-02010340814080033083,producto02,Vida grupo particular,F,PEN,1963-03-15,2021-06-28,2025-07-02,0.1,109.0,1890.0
c-02010346646910033094,producto02,Vida grupo particular,F,PEN,1973-01-17,2021-06-30,2026-07-20,0.1,147.0,1755.0
c-02010347473540033084,producto02,Vida grupo particular,F,PEN,1958-01-17,2021-06-28,2025-07-02,0.1,82.0,2200.0
c-02010349123330033082,producto02,Vida grupo particular,F,PEN,1970-12-10,2021-06-28,2026-02-02,0.1,181.0,2023.0
c-02010351084520033092,producto02,Vida grupo particular,F,PEN,1976-08-08,2021-06-30,2025-07-04,0.1,30.0,500.1
c-02010352854730033088,producto02,Vida grupo particular,F,PEN,1951-11-24,2021-06-30,2026-02-10,0.1,182.0,2800.0
c-02010357558400033094,producto02,Vida grupo particular,F,PEN,1960-06-02,2021-06-30,2025-07-04,0.1,10.0,800.0
c-02010358533010033084,producto02,Vida grupo particular,F,PEN,1961-09-19,2021-06-28,2024-11-02,0.1,77.0,1790.0
c-02010367138720033092,producto02,Vida grupo particular,F,PEN,1970-09-14,2021-06-30,2027-07-05,0.1,92.0,1965.0
c-02010370742410033091,producto02,Vida grupo particular,F,PEN,1952-06-11,2021-06-30,2025-07-10,0.1,65.0,2000.0
c-02010371602630033093,producto02,Vida grupo particular,F,PEN,1964-08-13,2021-06-30,2026-07-04,0.1,75.0,1045.0
c-02010375843920033086,producto02,Vida grupo particular,F,PEN,1981-06-15,2021-06-28,2025-07-02,0.1,23.0,950.0
c-02010377946460033084,producto02,Vida grupo particular,F,PEN,1953-01-03,2021-06-28,2025-07-02,0.1,70.0,800.0
c-02010389443510033095,producto02,Vida grupo particular,F,PEN,1956-08-25,2021-06-30,2025-07-04,0.1,26.0,1850.0
c-02010391568500033091,producto02,Vida grupo particular,F,PEN,1947-10-25,2021-06-30,2025-03-04,0.1,78.0,1050.0
c-02010391877110033087,producto02,Vida grupo particular,F,PEN,1967-09-13,2021-06-30,2027-07-05,0.1,8.0,865.0
c-02010394177960033082,producto02,Vida grupo particular,F,PEN,1957-04-12,2021-06-28,2025-07-02,0.1,17.0,1050.0
c-02010394397830033085,producto02,Vida grupo particular,F,PEN,1975-09-14,2021-06-28,2025-07-12,0.1,23.0,3000.0
c-02010395825500033081,producto02,Vida grupo particular,F,PEN,1904-03-04,2021-06-28,2027-07-09,0.1,37.0,515.0
c-02010396110800033094,producto02,Vida grupo particular,F,PEN,1965-09-02,2021-06-30,2025-07-07,0.1,79.0,1300.1
c-02010398408140033095,producto02,Vida grupo particular,F,PEN,1977-01-06,2021-06-30,2025-07-10,0.1,2.0,950.0
c-02010401409550033085,producto02,Vida grupo particular,F,PEN,1964-09-18,2021-06-28,2026-07-02,0.1,5.0,2085.0
c-02010401643640033095,producto02,Vida grupo particular,F,PEN,1991-03-19,2021-06-30,2025-07-04,0.1,24.0,1150.0
c-02010405461530033089,producto02,Vida grupo particular,F,PEN,1963-09-19,2021-06-30,2026-07-04,0.1,87.0,1350.0
c-02010408726100033092,producto02,Vida grupo particular,F,PEN,1947-01-20,2021-06-30,2025-07-30,0.1,300.0,3845.0
c-02010410110030033091,producto02,Vida grupo particular,F,PEN,1975-02-03,2021-06-30,2025-07-19,0.1,153.0,1800.0
c-02010410203270033091,producto02,Vida grupo particular,F,PEN,1954-07-22,2021-06-30,2025-07-04,0.1,72.0,1350.0
c-02010412172650033083,producto02,Vida grupo particular,F,PEN,1946-06-21,2021-06-28,2025-07-02,0.1,253.0,3000.0
c-02010414749010033085,producto02,Vida grupo particular,F,PEN,1949-12-31,2021-06-28,2026-07-02,0.1,90.0,1850.0
